#Table1
objid,u,g,r,i,z
1237668355109618866,23.45212,21.52658,20.8921,20.85917,20.62921
1237668355109618869,21.18847,20.30361,19.94095,19.85372,19.82406
1237668355109618870,24.22654,21.89121,20.88836,20.87892,22.12581
1237668355109618871,24.25748,25.14679,23.74542,21.91387,21.71535
1237668355109618872,24.23212,23.45205,22.63661,21.95589,22.68704
1237668355109618873,24.96151,23.343,22.56478,22.39586,22.10072
1237668355109618878,23.34833,21.24342,20.69475,20.49342,20.33872
1237668355109618879,24.86479,23.86886,22.43232,21.96817,22.57538
1237668355109618880,21.17734,20.11447,19.81032,19.66784,19.58141
1237668355109618886,21.62589,21.00559,20.58443,20.3681,20.28762
1237668355109618888,21.65782,20.59481,20.21088,20.14823,19.95875
1237668355109618889,21.46869,20.7106,20.31833,20.2055,20.18725
1237668355109618890,24.97779,24.80076,23.56987,21.4591,21.89506
1237668355109618891,24.95161,22.57684,21.7984,21.68108,21.13683
1237668355109618892,24.15805,23.58401,22.14375,22.64421,22.29186
1237668355109618894,21.08576,20.43011,20.09621,19.97288,19.84758
1237668355109618895,21.70817,20.81981,20.43668,20.25565,20.05313
1237668355109618897,21.62108,20.27345,19.82254,19.71635,19.59369
1237668355109618898,23.04848,21.30117,20.87427,20.71244,20.65064
1237668355109618899,23.34626,21.57402,21.00451,20.7362,21.23165
1237668355109618900,23.67203,23.6175,22.31032,22.52399,22.68619
1237668355109618901,21.5679,20.68895,20.28935,20.14104,20.14147
1237668355109618918,21.19611,20.16632,19.87239,19.79146,19.74553
1237668355109618919,21.30941,20.30245,19.95871,19.85737,19.80363
1237668355109618920,23.5852,21.60172,21.018,20.67942,21.41663
1237668355109618921,23.501,21.58136,20.78337,20.71376,20.75012
1237668355109618930,22.06623,20.80274,20.41796,20.34935,20.10934
1237668355109618931,24.14166,22.93475,21.28116,20.26108,19.6889
1237668355109618932,22.31774,21.06784,20.68722,20.55357,20.47117
1237668355109619195,22.94566,22.51399,21.74569,21.44216,21.23359
1237668355109619202,22.69099,22.18501,21.43682,21.24397,21.38985
1237668355109619223,23.29128,22.80998,22.28714,21.87866,21.43026
1237668355109619234,24.34964,22.64775,22.04864,21.70635,20.86592
1237668355109619235,22.75794,21.42652,20.88581,20.67791,20.62597
1237668355109619237,23.39752,22.07244,21.35111,21.00123,21.2033
1237668355109619242,22.81787,21.24838,20.86509,20.64629,20.8695
1237668355109619243,22.71677,22.29123,21.64385,21.6232,21.14367
1237668355109619245,25.23925,21.39045,20.19634,19.67899,19.48308
1237668355109619251,22.63587,21.38223,20.98757,20.76922,20.61815
1237668355109619253,26.80045,22.81645,22.0613,22.38005,21.9763
1237668355109619257,23.71756,22.20762,21.66055,21.48658,21.97006
1237668355109619259,22.64613,21.2653,20.83443,20.78536,20.45388
1237668355109619260,24.04098,21.64781,20.91498,20.64313,20.2529
1237668355109619263,23.10384,22.62129,21.77473,21.53459,21.46631
1237668355109619268,25.08782,22.89795,21.8205,21.67405,21.94829
1237668355109619272,24.60387,22.32128,20.76821,19.53234,18.87278
1237668355109619273,24.67505,22.04128,21.41552,21.10726,21.35631
1237668355109619288,23.22227,22.68249,21.95868,21.81341,21.54611
1237668355109619290,22.70972,21.64845,20.90948,20.67726,20.56515
1237668355109619297,26.3789,22.50615,21.70507,21.49599,21.30353
1237668355109619300,25.4595,23.76955,22.07561,21.0997,20.31411
1237668355109619302,24.55657,23.97485,23.07253,22.25962,22.58972
1237668355109619315,22.6503,21.67915,21.0934,20.9492,20.51156
1237668355109619325,23.72682,22.88059,21.96632,21.47391,21.3048
1237668355109619326,24.96772,21.7236,21.33593,21.09094,21.03988
1237668355109619329,22.77592,21.39309,20.82295,20.69608,20.53106
1237668355109619330,23.23186,22.1991,21.39635,20.94731,20.87296
1237668355109619335,26.33092,22.04324,20.64094,19.96409,19.50814
1237668355109619340,23.50107,22.30217,21.32416,20.74157,20.50673
1237668355109619341,24.12079,22.35388,21.64718,21.45954,21.10678
1237668355109619350,22.685,22.23754,21.58723,21.19073,21.34464
1237668355109619357,25.56308,22.6884,21.77422,21.54128,21.59759
1237668355109619363,22.60629,20.90834,20.52312,20.41698,20.13779
1237668355109619393,25.41676,22.92311,21.76163,21.6372,21.48467
1237668355109619409,26.3021,24.21352,22.96789,23.8585,22.41876
1237668355109619412,22.19445,20.91167,20.42679,20.33284,20.08741
1237668355109619413,24.78986,22.51545,21.79876,21.64707,22.38333
1237668355109619414,25.82606,22.8887,22.04759,21.75238,22.60972
1237668355109619415,24.31425,24.14936,22.34055,22.07841,22.04618
1237668355109619571,24.66533,23.82031,22.70402,22.08739,22.35105
1237668355109619574,23.65156,23.28306,22.46068,22.10044,21.24765
1237668355109619581,25.52638,23.05686,22.35742,21.92249,21.01238
1237668355109619593,26.20565,23.95323,22.4545,22.92635,22.37224
1237668355109619602,23.74172,23.28199,22.30829,22.41332,22.332
1237668355109619611,25.96713,23.42321,23.21127,22.34362,22.29783
1237668355109619701,25.38815,23.71485,22.55908,22.15635,23.13509
1237668355109619702,24.97951,23.32152,22.95488,22.27715,21.48765
1237668355109619711,25.04964,23.36263,22.81761,21.98606,21.75587
1237668355109619714,24.38162,25.18618,23.19217,21.97128,22.03036
1237668355109619719,25.14257,23.40091,23.09145,21.95143,22.29736
1237668355109619723,25.88393,23.25022,22.73308,22.12129,21.67195
1237668355109619725,24.52748,25.5399,23.34472,21.73169,20.71551
1237668355109619735,24.6239,24.39992,22.88002,22.19705,22.1957
1237668355109683276,16.56068,15.67293,15.97345,16.18041,16.32065
1237668355109683278,17.5595,16.27894,15.87349,15.7242,15.69037
1237668355109683280,22.19195,17.95106,16.83743,16.40556,16.17703
1237668355109683282,18.28117,17.20132,16.7594,16.55554,16.46429
