#ID  X     Y     y      b-y       m1      err y   b-y       m1
18173 938.51 897.62 17.7823 1.21704 -0.501285 0.112 0.115447 0.142972
18745 448.97 925.07 15.2115 1.33973 -1.28258 0.140 0.187683 0.29776
19087 814.04 940.39 15.4676 0.695359 -0.179346 0.027 0.0330151 0.0511273
19250 1.59 947.91 17.0702 0.504624 -0.117914 0.088 0.128035 0.211291
19948 932.35 978.54 18.5525 0.368532 0.788969 0.052 0.0786448 0.161963
19904 1019.44 975.99 19.1618 0.848978 0.361006 0.063 0.076844 0.25148
19936 614.94 982.92 15.0568 0.640716 -0.11987 0.034 0.0394462 0.0545985
20432 601.00 1000.48 17.1503 1.63048 -1.26014 0.129 0.166331 0.261696
20526 950.20 1003.63 19.5666 0.430392 73.9247 0.045 0.0742024 99.9901
20504 674.58 1003.21 13.4305 0.663398 0.218191 0.013 0.0206155 0.0369053
20664 949.99 1010.39 20.7278 0.464415 0.0343369 0.155 0.181276 0.394296
20805 814.05 1016.31 18.1801 0.651026 -0.250006 0.080 0.100603 0.16096
20864 55.13 1018.59 16.8509 1.05827 -0.860337 0.096 0.101193 0.118966
1981 622.96 118.94 14.5363 0.597414 0.0737166 0.007 0.0122066 0.0223159
2513 25.82 159.89 16.5847 0.519058 -0.0241412 0.027 0.0411096 0.0743909
3099 25.60 182.97 13.1028 0.642778 0.133259 0.008 0.00943398 0.0141421
5163 1.18 297.25 16.4811 0.383997 -0.0941735 0.111 0.141651 0.216012
11904 852.61 611.89 13.1061 0.709793 0.29056 0.008 0.0120416 0.0216564
17811 943.44 871.86 13.3699 0.674739 0.236568 0.012 0.0144222 0.0215407
20244 960.36 991.02 17.7104 0.363377 0.110924 0.070 0.101863 0.171184
8 874.05 1.19 17.5938 0.404617 -0.166868 0.026 0.0367696 0.0887074
17 774.47 1.66 17.8963 0.420082 -0.199947 0.040 0.060208 0.117456
192 771.57 13.85 17.7064 0.363377 -0.0417237 0.013 0.019105 0.0403609
173 503.07 3.35 14.0105 0.485035 -0.0603177 0.006 0.00921954 0.0163707
35 57.29 4.46 14.043 0.529368 0.00435674 0.016 0.02 0.0305287
55 944.13 5.07 17.258 0.411834 -0.103021 0.017 0.0208087 0.0379605
53 743.88 5.24 19.7769 0.468539 0.602453 0.051 0.0636003 0.232751
61 373.62 5.61 15.037 0.560298 0.0708942 0.009 0.0127279 0.0216564
68 663.46 5.97 17.5789 0.349974 -0.100567 0.024 0.0346554 0.0640312
112 667.96 9.23 18.9719 0.409772 0.0938127 0.026 0.0444072 0.118152
74 1002.45 6.17 19.4155 0.486066 -0.111344 0.049 0.067897 0.128144
113 682.20 9.23 19.3932 0.563391 -0.025315 0.033 0.0542033 0.162607
204 683.81 15.06 18.3818 0.405648 -0.0173565 0.017 0.0247588 0.0608358
