# No	Ref	V	BV	UB	N
# --	---	-	--	--	-
1015	144	10.54	+0.65		1
1015	345	10.55	+0.65	+0.10	1
1021	496	10.36	+1.28	+1.03	2
1028	3	7.34	+0.097	+0.12	2
1028	25	7.35	+0.10	+0.12	6
1028	457	7.35	+0.110		1
1028	1044	7.40	+0.11		1
1029	132	14.34	+1.39		1
1029	1051	14.21	+1.52		1
1032	25	11.34	+0.86	+0.38	2
1032	312	11.10	+0.75		1
1039	132	12.96	+1.22		2
1039	359	13.13	+1.30		1
1039	1051	13.07	+1.23	+0.79	2
1061	124	14.28	+1.42	+1.24	5
1061	132	14.21	+1.39		2
1061	304	14.23	+1.39		2
1061	1043	14.19	+1.30	+1.16	4
1081	132	14.61	+1.42		1
1084	3	8.09	+0.353	+0.28	3
1084	25	8.11	+0.36	+0.29	13
1084	244	8.14	+0.36	+0.24	2
1084	457	8.14	+0.363		1
1084	1042	8.11	+0.35	+0.30	5
1084	1044	8.16	+0.37	+0.29	1
1088	496	13.07	+0.84	+0.23	2
1095	25	11.92	+0.88	+0.71	2
1095	144	11.83	+0.92		1
1100	25	12.16	+1.15	+1.15	1
1100	132	12.25	+1.10		3
1100	1051	12.13	+1.17	+0.86	2
1101	25	10.26	+0.61	+0.08	3
1101	144	10.25	+0.61		1
1101	345	10.29	+0.61	+0.06	1
1103	132	14.77	+1.48		1
1110	132	13.29	+1.19		2
1110	1043	13.41	+1.23	+1.11	2
1114	124	14.08	+1.38	+1.21	10
1114	132	14.10	+1.39		1
1114	442	14.10	+1.42		2
1117	3	10.20	+0.724	+0.31	2
1117	25	10.20	+0.73	+0.31	4
1117	457	10.20	+0.733		1
1117	496	10.22	+0.71	+0.19	2
1122	3	9.28	+0.457	+0.03	2
1122	25	9.29	+0.46	+0.03	4
1122	909	9.337	+0.470	-0.057	4
1124	25	12.12	+0.92	+0.51	3
1124	132	12.32	+0.98		3
1132	25	9.42	+0.49	+0.03	2
1136	25	12.02	+0.99	+0.54	2
1136	132	12.18	+1.00		1
1139	25	9.38	+0.48	+0.00	2
1163	496	13.14	+0.78	+0.16	2
1173	124	15.21	+1.51	+0.91	11
1173	132	15.11	+1.49		4
1173	304	15.13	+1.52		3
1173	312	15.10	+1.56		4
1173	442	15.23	+1.48		1
1182	25	10.46	+0.64	+0.10	2
1184	345	10.62	+0.34	+0.28	1
1200	25	9.90	+0.54	+0.05	2
1207	25	10.47	+0.62	+0.09	2
1207	144	10.51	+0.64		1
1215	3	10.52	+0.638	+0.16	2
1215	25	10.52	+0.65	+0.16	6
1215	132	10.55	+0.62		3
1220	25	11.74	+0.88	+0.54	1
1234	3	6.80	+0.025	-0.07	3
1234	25	6.82	+0.02	-0.07	15
1234	50	6.82	+0.021	-0.073	1
1234	457	6.83	+0.013		1
1266	25	8.28	+0.36	+0.12	1
1266	345	8.30	+0.38	+0.12	1
1275	25	11.47	+0.84	+0.43	2
1275	312	11.45	+0.83		2
1280	124	14.55	+1.37	+1.11	7
1280	442	14.58	+1.35		2
1284	3	8.38	+0.294	+0.08	2
1284	25	8.37	+0.30	+0.08	6
1284	457	8.37	+0.293		1
1286	132	15.35	+1.68		3
1286	304	15.34	+1.68		3
1298	25	12.18	+1.02	+0.78	2
1298	132	12.33	+1.00		2
1305	25	13.46	+1.18	+1.10	1
1305	132	13.52	+1.19		5
1305	304	13.65	+1.19		2
1305	312	13.55	+1.20		2
1306	25	13.39	+1.35	+1.18	2
1306	124	13.505	+1.35	+1.17	4
1306	132	13.40	+1.31		3
1306	304	13.45	+1.31		3
1306	1043	13.36	+1.34	+1.15	3
1309	3	9.44	+0.468	+0.02	2
1309	25	9.46	+0.47	+0.02	4
1309	909	9.476	+0.477	-0.039	20
1321	124	15.33	+1.56	+1.05	10
1321	132	15.22	+1.45		2
1321	304	15.27	+1.45		2
1321	312	15.22	+1.47		2
1321	442	15.25	+1.63		2
1331	345	9.00	+1.25	+1.16	1
1332	25	12.41	+1.04	+0.86	2
1332	132	12.53	+1.02		2
1332	1043	12.46	+1.04	+0.79	3
1338	25	8.69	+0.46	+0.03	2
1348	25	12.61	+1.18	+1.00	3
1348	132	12.70	+1.15		3
1348	304	12.75	+1.15		1
1348	1043	12.64	+1.17	+1.05	3
1355	25	13.97	+1.23		1
1355	132	14.02	+1.40		2
1355	304	14.07	+1.40		2
1357	186	7.00	+0.50	+0.09	2
1362	25	8.25	+0.26	+0.10	2
1375	25	6.29	+0.02	-0.02	2
1380	3	6.98	+0.030	+0.05	2
1380	25	6.99	+0.03	+0.05	6
1384	3	7.64	+0.206	+0.12	3
